baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000014846.12	534.473138266622	3.64941067807748	0.200898008614825	18.1654895598014	9.68393785250064e-74	1.30687665998713e-71
ENSMUSG00000031803.8	247.898080414719	5.6087257332354	0.309856182367508	18.1010612419639	3.12586710076985e-73	4.19032904415201e-71
ENSMUSG00000000120.6	240.804165631987	5.29589996338176	0.292824867646127	18.08555402399	4.14184149167089e-73	5.51550653738531e-71
ENSMUSG00000051375.15	328.552355062886	2.84337689043628	0.15786303995185	18.0116694275211	1.57796917573518e-72	2.08748711747914e-70
ENSMUSG00000028581.17	347.494898988406	7.11307602253369	0.39518408024228	17.9993992120654	1.96943717211958e-72	2.58832958542357e-70
ENSMUSG00000024529.14	35328.1678451143	-1.57646640236459	0.0879577791055329	-17.9229900799692	7.80196209018785e-72	1.01871333577596e-69
ENSMUSG00000027220.2	951.097804831588	-2.22323096647999	0.124088038298129	-17.9165614749953	8.75767934643807e-72	1.13612526643985e-69
ENSMUSG00000051076.8	213.858031538754	4.72070942689459	0.263643327115555	17.9056662595731	1.06512894315108e-71	1.37292389672319e-69
ENSMUSG00000020173.17	704.985315876556	2.18485944655241	0.122055630521504	17.9005215672331	1.16822718463772e-71	1.4962237088341e-69
ENSMUSG00000021895.10	527.850645719192	2.53548786034467	0.141788040054008	17.8822406980086	1.62185872840932e-71	2.06407185511738e-69
ENSMUSG00000073722.3	562.589176569115	8.25880492592691	0.462066500851837	17.8736283861771	1.89273327614528e-71	2.393652875266e-69
ENSMUSG00000026981.15	4900.71690005775	-1.67998999613757	0.0940151656776757	-17.8693510140407	2.04357932004179e-71	2.56826831046252e-69
ENSMUSG00000042306.11	674.286552526765	8.6603027889584	0.486262174101433	17.8099454372774	5.91674699362804e-71	7.38968624520949e-69
ENSMUSG00000011179.8	2561.67896993125	1.53332887763963	0.0861161925542832	17.8053491702284	6.42304310739427e-71	7.97250313601754e-69
ENSMUSG00000000889.8	230.113871977143	5.19120462877366	0.292592300128711	17.7421095035312	1.98346934025293e-70	2.44684671741141e-68
ENSMUSG00000026249.10	14421.8232611962	-1.90637341925443	0.107544774485749	-17.7263230907332	2.62660399907916e-70	3.22047275691975e-68
ENSMUSG00000030091.17	509.795822157177	8.1186742022776	0.458114218335976	17.7219433000079	2.83932205604313e-70	3.46018714563122e-68
ENSMUSG00000002228.7	239.427164748976	3.85878167102082	0.218328873175281	17.6741702318175	6.63088419399108e-70	8.03215779354052e-68
ENSMUSG00000025357.8	848.94281153024	2.07371315819974	0.117679223576578	17.621744052809	1.67752570934033e-69	2.01986149481529e-67
ENSMUSG00000044641.7	280.87841450366	3.0268048111098	0.171866556506308	17.6113658912966	2.01522881722887e-69	2.41203696766894e-67
ENSMUSG00000044393.15	315.970620374672	6.97244637058707	0.398038204015646	17.5170280145094	1.06231817428217e-68	1.26397005020508e-66
ENSMUSG00000018411.17	222.618517036054	5.18102236307977	0.296361394257193	17.4821095577094	1.96107732918494e-68	2.31960840795593e-66
ENSMUSG00000023039.17	500.664450214585	3.38305029302402	0.193838301906937	17.4529505249599	3.26901534372906e-68	3.84405617144467e-66
ENSMUSG00000024222.17	762.807680029817	2.1086238702805	0.12082452876689	17.4519519488358	3.32667487746524e-68	3.88911502535296e-66
ENSMUSG00000036553.16	213.613324080703	3.4632833139383	0.198524447898569	17.4451225055554	3.74913797448565e-68	4.35766857751199e-66
ENSMUSG00000028392.15	269.26394074901	6.4783613394169	0.371430708565517	17.4416417114154	3.98461629323409e-68	4.60475082898569e-66
ENSMUSG00000038028.9	837.476185759905	2.38064717794485	0.136598215601769	17.4280986574909	5.04972687643792e-68	5.80228045893792e-66
ENSMUSG00000041649.13	472.853274555492	3.30467848466191	0.189630659046336	17.4269208432926	5.15479666317172e-68	5.88935518767369e-66
ENSMUSG00000037465.10	1633.62017198019	1.81781909584747	0.104444776132815	17.4045956452228	7.61417395420576e-68	8.6500457554333e-66
ENSMUSG00000078670.3	299.484820258915	2.77805544042047	0.159644907010116	17.4014661190816	8.04180372991127e-68	9.08452749444134e-66
ENSMUSG00000050296.14	288.471396328104	6.65674016356685	0.382713251220974	17.3935450166144	9.23419247347195e-68	1.03732481707583e-65
ENSMUSG00000054423.14	202.529523881086	4.24763342534281	0.245496721736251	17.3022001894846	4.52762519591528e-67	5.05786041330358e-65
ENSMUSG00000092035.8	1371.61924931414	1.63336606103711	0.094483602262494	17.2872966517438	5.86385107809114e-67	6.51438218111915e-65
ENSMUSG00000022596.3	1256.09232823558	2.36848657734624	0.137519908094161	17.2228632942695	1.78913759014972e-66	1.97670212432586e-64
ENSMUSG00000032420.8	1357.39212732792	2.44589448365896	0.142036030508256	17.2202396455792	1.87211413898223e-66	2.05707492386091e-64
ENSMUSG00000049044.16	223.954814734128	5.5058274055385	0.319771095818091	17.2180271373577	1.9450612369598e-66	2.12561366047759e-64
ENSMUSG00000041605.16	270.766288034528	2.97677177479828	0.173689207206846	17.1384959530229	7.66067310182135e-66	8.28390832617767e-64
ENSMUSG00000052397.8	2218.2356718365	1.91183399314881	0.111552126720709	17.1384808999243	7.66265639879175e-66	8.28390832617767e-64
ENSMUSG00000092060.4	274.304882595437	4.31421050088363	0.251885889986286	17.1276386347743	9.23267180190223e-66	9.92783767875134e-64
