	clust	group
W431615	8	mTEC-I
W431617	28	mTEC-II
W431618	1	mTEC-IV
W431620	24	mTEC-III
W431626	29	mTEC-II
W431628	8	mTEC-I
W431629	25	mTEC-II
W431251	12	mTEC-I
W431252	6	mTEC-I
W431270	8	mTEC-I
W431273	8	mTEC-I
W431277	26	mTEC-II
W431278	20	mTEC-I
W431279	26	mTEC-II
W431292	28	mTEC-II
W431293	20	mTEC-I
W431294	7	mTEC-I
W431297	1	mTEC-IV
W431298	7	mTEC-I
W431301	26	mTEC-II
W431304	5	cTEC
W431306	8	mTEC-I
W431308	25	mTEC-II
W431312	12	mTEC-I
W431317	14	mTEC-I
W431319	17	mTEC-I
W431320	8	mTEC-I
W431323	3	mTEC-IV
W431324	8	mTEC-I
W431326	20	mTEC-I
W431333	26	mTEC-II
W431336	21	mTEC-I
W431337	32	mTEC-III
W431339	3	mTEC-IV
W431341	3	mTEC-IV
W431342	7	mTEC-I
W431343	8	mTEC-I
W431344	24	mTEC-III
W431346	25	mTEC-II
W431359	35	mTEC-II
W431361	12	mTEC-I
W431363	29	mTEC-II
W431365	12	mTEC-I
W431367	26	mTEC-II
W431373	35	mTEC-II
W431376	7	mTEC-I
W431378	4	cTEC
W431379	14	mTEC-I
W431381	31	mTEC-II
W431386	29	mTEC-II
W431393	12	mTEC-I
W431394	20	mTEC-I
W431406	8	mTEC-I
W431407	30	mTEC-II
W431409	21	mTEC-I
W431410	22	mTEC-III
W431413	3	mTEC-IV
W431414	18	mTEC-I
W431415	1	mTEC-IV
W431416	4	cTEC
W431426	21	mTEC-I
W431436	33	mTEC-III
W431437	8	mTEC-I
W431439	13	mTEC-I
W431440	3	mTEC-IV
W416474	7	mTEC-I
W416477	4	cTEC
W416484	17	mTEC-I
W416493	21	mTEC-I
W416502	21	mTEC-I
W416505	32	mTEC-III
W416507	12	mTEC-I
W416514	1	mTEC-IV
W416515	26	mTEC-II
W416516	12	mTEC-I
W416517	17	mTEC-I
W416519	21	mTEC-I
W416521	10	mTEC-I
W416524	13	mTEC-I
W416525	1	mTEC-IV
W416532	12	mTEC-I
W416533	3	mTEC-IV
W416538	12	mTEC-I
W416543	12	mTEC-I
W416544	3	mTEC-IV
W416549	28	mTEC-II
W416553	1	mTEC-IV
W416554	14	mTEC-I
W416563	1	mTEC-IV
W416564	26	mTEC-II
W416567	3	mTEC-IV
W416575	1	mTEC-IV
W416578	14	mTEC-I
W416579	25	mTEC-II
W416584	14	mTEC-I
W416587	26	mTEC-II
W416592	8	mTEC-I
W416594	29	mTEC-II
W416596	14	mTEC-I
W416597	25	mTEC-II
W416598	30	mTEC-II
W416599	2	mTEC-IV
W416605	35	mTEC-II
W416607	4	cTEC
W416609	34	mTEC-II
W416610	19	mTEC-I
W416614	1	mTEC-IV
W416615	1	mTEC-IV
W416616	12	mTEC-I
W416623	10	mTEC-I
W416624	10	mTEC-I
W416625	1	mTEC-IV
W416633	4	cTEC
W416636	2	mTEC-IV
W416092	8	mTEC-I
W416094	6	mTEC-I
W416095	8	mTEC-I
W416111	12	mTEC-I
W416115	29	mTEC-II
W416117	8	mTEC-I
W416123	8	mTEC-I
W416135	6	mTEC-I
W416136	12	mTEC-I
W416138	4	cTEC
W416141	33	mTEC-III
W416143	8	mTEC-I
W416150	22	mTEC-III
W416152	33	mTEC-III
W416153	8	mTEC-I
W416168	24	mTEC-III
W416171	4	cTEC
W416175	29	mTEC-II
W416185	23	mTEC-III
W416193	4	cTEC
W416194	12	mTEC-I
W416195	25	mTEC-II
W416199	32	mTEC-III
W416201	12	mTEC-I
W416202	4	cTEC
W416205	1	mTEC-IV
W416207	25	mTEC-II
W416215	8	mTEC-I
W416217	4	cTEC
W416247	7	mTEC-I
W416248	4	cTEC
W416249	25	mTEC-II
W416256	7	mTEC-I
W416257	3	mTEC-IV
W416266	8	mTEC-I
W416270	26	mTEC-II
W416271	29	mTEC-II
W379025	6	mTEC-I
W379034	8	mTEC-I
W379036	30	mTEC-II
W379038	18	mTEC-I
W379039	17	mTEC-I
W379040	26	mTEC-II
W379041	3	mTEC-IV
W379042	35	mTEC-II
W379043	30	mTEC-II
W379046	18	mTEC-I
W379047	30	mTEC-II
W379049	30	mTEC-II
W379051	35	mTEC-II
W379052	27	mTEC-II
W379053	30	mTEC-II
W379054	29	mTEC-II
W379055	12	mTEC-I
W379057	8	mTEC-I
W379059	17	mTEC-I
W379061	21	mTEC-I
W379062	3	mTEC-IV
W379064	21	mTEC-I
W379065	8	mTEC-I
W379066	35	mTEC-II
W379067	30	mTEC-II
W379069	21	mTEC-I
W379070	21	mTEC-I
W379071	3	mTEC-IV
W379072	18	mTEC-I
W379073	2	mTEC-IV
W379074	21	mTEC-I
W379075	30	mTEC-II
W379078	35	mTEC-II
W379080	35	mTEC-II
W379087	18	mTEC-I
W379088	21	mTEC-I
W379089	3	mTEC-IV
W379092	28	mTEC-II
W379094	5	cTEC
W379096	26	mTEC-II
W379097	7	mTEC-I
W379098	13	mTEC-I
W379099	17	mTEC-I
W379100	18	mTEC-I
W379103	28	mTEC-II
W379104	25	mTEC-II
W379110	35	mTEC-II
W379111	21	mTEC-I
W379112	18	mTEC-I
W379115	29	mTEC-II
W379116	30	mTEC-II
W379117	34	mTEC-II
W379118	34	mTEC-II
W379119	17	mTEC-I
W379122	28	mTEC-II
W379127	14	mTEC-I
W379129	21	mTEC-I
W379131	21	mTEC-I
W379133	13	mTEC-I
W379135	30	mTEC-II
W379136	12	mTEC-I
W379137	5	cTEC
W379141	3	mTEC-IV
W379142	20	mTEC-I
W379143	26	mTEC-II
W379145	29	mTEC-II
W379146	24	mTEC-III
W379149	7	mTEC-I
W379152	34	mTEC-II
W379155	13	mTEC-I
W379157	23	mTEC-III
W379158	8	mTEC-I
W379161	18	mTEC-I
